Postcode,Region,RegionA,Area
1579,Central & Northern Sydney,C+N Sydney,Metro
2000,Central & Northern Sydney,C+N Sydney,Metro
2001,Central & Northern Sydney,C+N Sydney,Metro
2002,Central & Northern Sydney,C+N Sydney,Metro
2003,Central & Northern Sydney,C+N Sydney,Metro
2004,Central & Northern Sydney,C+N Sydney,Metro
2005,Central & Northern Sydney,C+N Sydney,Metro
2006,Central & Northern Sydney,C+N Sydney,Metro
2007,Central & Northern Sydney,C+N Sydney,Metro
2008,Central & Northern Sydney,C+N Sydney,Metro
2009,Central & Northern Sydney,C+N Sydney,Metro
2010,Central & Northern Sydney,C+N Sydney,Metro
2011,Central & Northern Sydney,C+N Sydney,Metro
2012,Central & Northern Sydney,C+N Sydney,Metro
2013,Central & Northern Sydney,C+N Sydney,Metro
2014,Central & Northern Sydney,C+N Sydney,Metro
2015,Central & Northern Sydney,C+N Sydney,Metro
2016,Central & Northern Sydney,C+N Sydney,Metro
2017,Central & Northern Sydney,C+N Sydney,Metro
2018,Central & Northern Sydney,C+N Sydney,Metro
2019,Central & Northern Sydney,C+N Sydney,Metro
2020,Southern & South Western Sydney,S+SW Sydney,Metro
2021,Central & Northern Sydney,C+N Sydney,Metro
2022,Central & Northern Sydney,C+N Sydney,Metro
2023,Central & Northern Sydney,C+N Sydney,Metro
2024,Central & Northern Sydney,C+N Sydney,Metro
2025,Central & Northern Sydney,C+N Sydney,Metro
2026,Central & Northern Sydney,C+N Sydney,Metro
2027,Central & Northern Sydney,C+N Sydney,Metro
2028,Central & Northern Sydney,C+N Sydney,Metro
2029,Central & Northern Sydney,C+N Sydney,Metro
2030,Central & Northern Sydney,C+N Sydney,Metro
2031,Central & Northern Sydney,C+N Sydney,Metro
2032,Central & Northern Sydney,C+N Sydney,Metro
2033,Central & Northern Sydney,C+N Sydney,Metro
2034,Central & Northern Sydney,C+N Sydney,Metro
2035,Central & Northern Sydney,C+N Sydney,Metro
2036,Central & Northern Sydney,C+N Sydney,Metro
2037,Central & Northern Sydney,C+N Sydney,Metro
2038,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2039,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2040,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2041,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2042,Central & Northern Sydney,C+N Sydney,Metro
2043,Central & Northern Sydney,C+N Sydney,Metro
2044,Central & Northern Sydney,C+N Sydney,Metro
2045,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2046,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2047,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2048,Central & Northern Sydney,C+N Sydney,Metro
2049,Southern & South Western Sydney,S+SW Sydney,Metro
2050,Central & Northern Sydney,C+N Sydney,Metro
2052,Central & Northern Sydney,C+N Sydney,Metro
2053,Central & Northern Sydney,C+N Sydney,Metro
2054,Central & Northern Sydney,C+N Sydney,Metro
2055,Central & Northern Sydney,C+N Sydney,Metro
2056,Central & Northern Sydney,C+N Sydney,Metro
2057,Central & Northern Sydney,C+N Sydney,Metro
2058,Central & Northern Sydney,C+N Sydney,Metro
2059,Central & Northern Sydney,C+N Sydney,Metro
2060,Central & Northern Sydney,C+N Sydney,Metro
2061,Central & Northern Sydney,C+N Sydney,Metro
2062,Central & Northern Sydney,C+N Sydney,Metro
2063,Central & Northern Sydney,C+N Sydney,Metro
2064,Central & Northern Sydney,C+N Sydney,Metro
2065,Central & Northern Sydney,C+N Sydney,Metro
2066,Central & Northern Sydney,C+N Sydney,Metro
2067,Central & Northern Sydney,C+N Sydney,Metro
2068,Central & Northern Sydney,C+N Sydney,Metro
2069,Central & Northern Sydney,C+N Sydney,Metro
2070,Central & Northern Sydney,C+N Sydney,Metro
2071,Central & Northern Sydney,C+N Sydney,Metro
2072,Central & Northern Sydney,C+N Sydney,Metro
2073,Central & Northern Sydney,C+N Sydney,Metro
2074,Central & Northern Sydney,C+N Sydney,Metro
2075,Central & Northern Sydney,C+N Sydney,Metro
2076,Central & Northern Sydney,C+N Sydney,Metro
2077,Central & Northern Sydney,C+N Sydney,Metro
2078,Central & Northern Sydney,C+N Sydney,Metro
2079,Central & Northern Sydney,C+N Sydney,Metro
2080,Central & Northern Sydney,C+N Sydney,Metro
2081,Central & Northern Sydney,C+N Sydney,Metro
2082,Central & Northern Sydney,C+N Sydney,Metro
2083,Central & Northern Sydney,C+N Sydney,Metro
2084,Central & Northern Sydney,C+N Sydney,Metro
2085,Central & Northern Sydney,C+N Sydney,Metro
2086,Central & Northern Sydney,C+N Sydney,Metro
2087,Central & Northern Sydney,C+N Sydney,Metro
2088,Central & Northern Sydney,C+N Sydney,Metro
2089,Central & Northern Sydney,C+N Sydney,Metro
2090,Central & Northern Sydney,C+N Sydney,Metro
2091,Central & Northern Sydney,C+N Sydney,Metro
2092,Central & Northern Sydney,C+N Sydney,Metro
2093,Central & Northern Sydney,C+N Sydney,Metro
2094,Central & Northern Sydney,C+N Sydney,Metro
2095,Central & Northern Sydney,C+N Sydney,Metro
2096,Central & Northern Sydney,C+N Sydney,Metro
2097,Central & Northern Sydney,C+N Sydney,Metro
2098,Central & Northern Sydney,C+N Sydney,Metro
2099,Central & Northern Sydney,C+N Sydney,Metro
2100,Central & Northern Sydney,C+N Sydney,Metro
2101,Central & Northern Sydney,C+N Sydney,Metro
2102,Central & Northern Sydney,C+N Sydney,Metro
2103,Central & Northern Sydney,C+N Sydney,Metro
2104,Central & Northern Sydney,C+N Sydney,Metro
2105,Central & Northern Sydney,C+N Sydney,Metro
2106,Central & Northern Sydney,C+N Sydney,Metro
2107,Central & Northern Sydney,C+N Sydney,Metro
2108,Central & Northern Sydney,C+N Sydney,Metro
2109,Central & Northern Sydney,C+N Sydney,Metro
2110,Central & Northern Sydney,C+N Sydney,Metro
2111,Central & Northern Sydney,C+N Sydney,Metro
2112,Central & Northern Sydney,C+N Sydney,Metro
2113,Central & Northern Sydney,C+N Sydney,Metro
2114,Central & Northern Sydney,C+N Sydney,Metro
2115,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2116,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2117,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2118,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2119,Central & Northern Sydney,C+N Sydney,Metro
2120,Central & Northern Sydney,C+N Sydney,Metro
2121,Central & Northern Sydney,C+N Sydney,Metro
2122,Central & Northern Sydney,C+N Sydney,Metro
2123,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2124,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2125,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2126,Central & Northern Sydney,C+N Sydney,Metro
2127,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2128,Western Sydney & Blue Mountains,W Sydney +BM,Metro
