Postcode,Region
1579,Central & Northern Sydney
2000,Central & Northern Sydney
2001,Central & Northern Sydney
2002,Central & Northern Sydney
2003,Central & Northern Sydney
2004,Central & Northern Sydney
2005,Central & Northern Sydney
2006,Central & Northern Sydney
2007,Central & Northern Sydney
2008,Central & Northern Sydney
2009,Central & Northern Sydney
2010,Central & Northern Sydney
2011,Central & Northern Sydney
2012,Central & Northern Sydney
2013,Central & Northern Sydney
2014,Central & Northern Sydney
2015,Central & Northern Sydney
2016,Central & Northern Sydney
2017,Central & Northern Sydney
2018,Central & Northern Sydney
2019,Central & Northern Sydney
2020,Southern & South Western Sydney
2021,Central & Northern Sydney
2022,Central & Northern Sydney
2023,Central & Northern Sydney
2024,Central & Northern Sydney
2025,Central & Northern Sydney
2026,Central & Northern Sydney
2027,Central & Northern Sydney
2028,Central & Northern Sydney
2029,Central & Northern Sydney
2030,Central & Northern Sydney
2031,Central & Northern Sydney
2032,Central & Northern Sydney
2033,Central & Northern Sydney
2034,Central & Northern Sydney
2035,Central & Northern Sydney
2036,Central & Northern Sydney
2037,Central & Northern Sydney
2038,Western Sydney & Blue Mountains
2039,Western Sydney & Blue Mountains
2040,Western Sydney & Blue Mountains
2041,Western Sydney & Blue Mountains
2042,Central & Northern Sydney
2043,Central & Northern Sydney
2044,Central & Northern Sydney
2045,Western Sydney & Blue Mountains
2046,Western Sydney & Blue Mountains
2047,Western Sydney & Blue Mountains
2048,Central & Northern Sydney
2049,Southern & South Western Sydney
2050,Central & Northern Sydney
2052,Central & Northern Sydney
2053,Central & Northern Sydney
2054,Central & Northern Sydney
2055,Central & Northern Sydney
2056,Central & Northern Sydney
2057,Central & Northern Sydney
2058,Central & Northern Sydney
2059,Central & Northern Sydney
2060,Central & Northern Sydney
2061,Central & Northern Sydney
2062,Central & Northern Sydney
2063,Central & Northern Sydney
2064,Central & Northern Sydney
2065,Central & Northern Sydney
2066,Central & Northern Sydney
2067,Central & Northern Sydney
2068,Central & Northern Sydney
2069,Central & Northern Sydney
2070,Central & Northern Sydney
2071,Central & Northern Sydney
2072,Central & Northern Sydney
2073,Central & Northern Sydney
2074,Central & Northern Sydney
2075,Central & Northern Sydney
2076,Central & Northern Sydney
2077,Central & Northern Sydney
2078,Central & Northern Sydney
2079,Central & Northern Sydney
2080,Central & Northern Sydney
2081,Central & Northern Sydney
2082,Central & Northern Sydney
2083,Central & Northern Sydney
2084,Central & Northern Sydney
2085,Central & Northern Sydney
2086,Central & Northern Sydney
2087,Central & Northern Sydney
2088,Central & Northern Sydney
2089,Central & Northern Sydney
2090,Central & Northern Sydney
2091,Central & Northern Sydney
2092,Central & Northern Sydney
2093,Central & Northern Sydney
2094,Central & Northern Sydney
2095,Central & Northern Sydney
2096,Central & Northern Sydney
2097,Central & Northern Sydney
2098,Central & Northern Sydney
2099,Central & Northern Sydney
2100,Central & Northern Sydney
2101,Central & Northern Sydney
2102,Central & Northern Sydney
2103,Central & Northern Sydney
2104,Central & Northern Sydney
2105,Central & Northern Sydney
2106,Central & Northern Sydney
2107,Central & Northern Sydney
2108,Central & Northern Sydney
2109,Central & Northern Sydney
2110,Central & Northern Sydney
2111,Central & Northern Sydney
2112,Central & Northern Sydney
2113,Central & Northern Sydney
2114,Central & Northern Sydney
2115,Western Sydney & Blue Mountains
2116,Western Sydney & Blue Mountains
2117,Western Sydney & Blue Mountains
2118,Western Sydney & Blue Mountains
2119,Central & Northern Sydney
2120,Central & Northern Sydney
2121,Central & Northern Sydney
2122,Central & Northern Sydney
2123,Western Sydney & Blue Mountains
2124,Western Sydney & Blue Mountains
2125,Western Sydney & Blue Mountains
2126,Central & Northern Sydney
2127,Western Sydney & Blue Mountains
2128,Western Sydney & Blue Mountains
2130,Southern & South Western Sydney
2131,Southern & South Western Sydney
2132,Southern & South Western Sydney
2133,Southern & South Western Sydney
2134,Southern & South Western Sydney
2135,Southern & South Western Sydney
2136,Southern & South Western Sydney
2137,Western Sydney & Blue Mountains
2138,Western Sydney & Blue Mountains
2139,Western Sydney & Blue Mountains
2140,Western Sydney & Blue Mountains
2141,Southern & South Western Sydney
2142,Western Sydney & Blue Mountains
2143,Southern & South Western Sydney
2144,Western Sydney & Blue Mountains
2145,Western Sydney & Blue Mountains
2146,Western Sydney & Blue Mountains
2147,Western Sydney & Blue Mountains
2148,Western Sydney & Blue Mountains
2149,Western Sydney & Blue Mountains
2150,Western Sydney & Blue Mountains
2151,Western Sydney & Blue Mountains
2152,Western Sydney & Blue Mountains
2153,Western Sydney & Blue Mountains
2154,Western Sydney & Blue Mountains
2155,Western Sydney & Blue Mountains
2156,Western Sydney & Blue Mountains
2157,Western Sydney & Blue Mountains
2158,Western Sydney & Blue Mountains
2159,Central & Northern Sydney
2160,Western Sydney & Blue Mountains
2161,Southern & South Western Sydney
2162,Southern & South Western Sydney
2163,Southern & South Western Sydney
2164,Southern & South Western Sydney
2165,Southern & South Western Sydney
2166,Southern & South Western Sydney
2167,Southern & South Western Sydney
2168,Southern & South Western Sydney
2169,Southern & South Western Sydney
2170,Southern & South Western Sydney
2171,Southern & South Western Sydney
2172,Southern & South Western Sydney
2173,Southern & South Western Sydney
2174,Southern & South Western Sydney
2175,Southern & South Western Sydney
2176,Southern & South Western Sydney
2177,Southern & South Western Sydney
2178,Southern & South Western Sydney
2179,Southern & South Western Sydney
2190,Southern & South Western Sydney
2191,Southern & South Western Sydney
2192,Southern & South Western Sydney
2193,Southern & South Western Sydney
2194,Southern & South Western Sydney
2195,Southern & South Western Sydney
2196,Southern & South Western Sydney
2197,Southern & South Western Sydney
2198,Southern & South Western Sydney
2199,Southern & South Western Sydney
2200,Southern & South Western Sydney
2201,Southern & South Western Sydney
2202,Southern & South Western Sydney
2203,Southern & South Western Sydney
2204,Central & Northern Sydney
2205,Southern & South Western Sydney
2206,Southern & South Western Sydney
2207,Southern & South Western Sydney
2208,Southern & South Western Sydney
2209,Southern & South Western Sydney
2210,Southern & South Western Sydney
