Pdate,vDiff
2017-06-01,9.1
2017-06-02,8.9
2017-06-03,9.2
2017-06-04,11.5
2017-06-05,10.5
2017-06-06,10.5
2017-06-07,10.5
2017-06-08,10.2
2017-06-09,10.5
2017-06-10,11.7
2017-06-11,12
2017-06-12,12.2
2017-06-13,12.6
2017-06-14,12.6
2017-06-15,13.1
2017-06-16,13
2017-06-17,14.7
2017-06-18,15
2017-06-19,14.7
2017-06-20,14.8
2017-06-21,14.8
2017-06-22,14.9
2017-06-23,15
2017-06-24,16
2017-06-25,16.5
2017-06-26,16.1
2017-06-27,16.2
2017-06-28,16.2
2017-06-29,16.6
2017-06-30,17.3
2017-07-01,18.1
2017-07-02,17.5
2017-07-03,17.1
2017-07-04,17.2
2017-07-05,17.2
2017-07-06,16.9
2017-07-07,16.8
2017-07-08,15.6
2017-07-09,15.9
2017-07-10,15
2017-07-11,15
2017-07-12,15
2017-07-13,14.5
2017-07-14,14.3
2017-07-15,15.2
2017-07-16,15.5
2017-07-17,16.2
2017-07-18,16.4
2017-07-19,16.4
2017-07-20,16.2
2017-07-21,15.3
2017-07-22,15.8
2017-07-23,15.4
2017-07-24,15.2
2017-07-25,15.7
2017-07-26,15.7
2017-07-27,16.2
2017-07-28,15.8
2017-07-29,15.6
2017-07-30,16.1
2017-07-31,17.2
2017-08-01,16.8
2017-08-02,16.8
2017-08-03,16.1
2017-08-04,14.4
2017-08-05,14.4
2017-08-06,14.1
2017-08-07,13.4
2017-08-08,13.4
2017-08-09,13.4
2017-08-10,13.1
2017-08-11,14.1
2017-08-12,13.2
2017-08-13,13.5
2017-08-14,13.1
2017-08-15,12.9
2017-08-16,12.9
2017-08-17,13
2017-08-18,13.2
2017-08-19,12.5
2017-08-20,13.1
2017-08-21,12.8
2017-08-22,13
2017-08-23,13
2017-08-24,14.1
2017-08-25,13.6
2017-08-26,14
2017-08-27,14.1
2017-08-28,12.3
2017-08-29,12.5
2017-08-30,12.5
2017-08-31,13.4
2017-09-01,13.5
2017-09-02,12.7
2017-09-03,12.9
2017-09-04,12.7
2017-09-05,12.8
2017-09-06,12.8
2017-09-07,13.1
2017-09-08,13.5
2017-09-09,14
2017-09-10,12.3
2017-09-11,12.6
2017-09-12,12.6
2017-09-13,12.6
2017-09-14,13
2017-09-15,12.2
2017-09-16,11.8
2017-09-17,11.5
2017-09-18,12.2
2017-09-19,12.3
2017-09-20,12.3
2017-09-21,12.1
2017-09-22,11.7
2017-09-23,11
2017-09-24,10.7
2017-09-25,10.6
2017-09-26,10.6
2017-09-27,10.6
2017-09-28,10.6
2017-09-29,10.5
2017-09-30,10.1
2017-10-01,10
2017-10-02,9.1
2017-10-03,9.3
2017-10-04,9.2
2017-10-05,9.2
2017-10-06,7.8
2017-10-07,8.5
2017-10-08,8.3
2017-10-09,8.8
2017-10-10,8.7
2017-10-11,8.8
2017-10-12,9.2
2017-10-13,9.5
2017-10-14,9.6
2017-10-15,8.2
2017-10-16,9.3
2017-10-17,9.3
2017-10-18,9.3
2017-10-19,9
2017-10-20,8.4
2017-10-21,8.5
2017-10-22,8.8
2017-10-23,8.5
2017-10-24,8.5
2017-10-25,8.5
2017-10-26,7.8
2017-10-27,7.6
2017-10-28,7.5
2017-10-29,8.5
2017-10-30,7.6
2017-10-31,7.5
2017-11-01,7.4
2017-11-02,7.8
2017-11-03,6.6
2017-11-04,6.2
2017-11-05,5
2017-11-06,4.4
2017-11-07,4.4
2017-11-08,4.2
2017-11-09,4.2
2017-11-10,3.5
2017-11-11,4.1
2017-11-12,3.9
2017-11-13,2.5
2017-11-14,2.5
2017-11-15,2.4
2017-11-16,1
2017-11-17,1.3
2017-11-18,1.5
2017-11-19,1.2
2017-11-20,1.1
2017-11-21,1.1
2017-11-22,1.2
2017-11-23,1.4
2017-11-24,2.9
2017-11-25,2.2
2017-11-26,2.7
2017-11-27,1.4
2017-11-28,1.3
2017-11-29,1.2
2017-11-30,1.7
2017-12-01,1.5
2017-12-02,1.2
2017-12-03,1.2
2017-12-04,0.8
2017-12-05,0.8
2017-12-06,0.8
2017-12-07,0.8
2017-12-08,1.4
2017-12-09,1.4
2017-12-10,1.3
2017-12-11,0.9
2017-12-12,0.9
2017-12-13,0.8
2017-12-14,1.8
2017-12-15,1.6
2017-12-16,2.5
2017-12-17,1.5
2017-12-18,0.4
2017-12-19,0.4
2017-12-20,0.4
2017-12-21,-0.5
2017-12-22,0.5
2017-12-23,1.9
2017-12-24,1.6
2017-12-25,1.6
2017-12-26,1.6
2017-12-27,1.6
2017-12-28,1.6
2017-12-29,1.2
2017-12-30,0.7
2017-12-31,0.8
2018-01-01,1
2018-01-02,1
2018-01-03,1
2018-01-04,1
2018-01-05,-0.3
2018-01-06,0.3
2018-01-07,0.2
2018-01-08,-0.1
2018-01-09,0
2018-01-10,-0.1
2018-01-11,-0.1
2018-01-12,0.3
2018-01-13,-1
2018-01-14,-0.7
2018-01-15,-0.6
2018-01-16,-0.6
2018-01-17,-0.6
2018-01-18,-0.9
2018-01-19,-2.2
2018-01-20,-1.9
2018-01-21,-1.6
2018-01-22,-1.9
